iter	RMSE
0	6.111675208
1	5.723791535
2	5.392344629
3	5.106636166
4	4.858098928
5	4.641230985
6	4.463075401
7	4.312421359
8	4.184056832
9	4.074100219
10	3.981948446
11	3.90610752
12	3.842398965
13	3.785777886
14	3.7410896
15	3.701540056
16	3.671779126
17	3.643973925
18	3.620210465
19	3.602640533
20	3.587329538
21	3.574821173
22	3.566084111
23	3.553023727
24	3.545141505
25	3.534920932
26	3.523602504
27	3.51598309
28	3.510789356
29	3.503496818
30	3.493912623
31	3.488386373
32	3.483004318
33	3.477567433
34	3.471713569
35	3.468997477
36	3.465292201
37	3.461510653
38	3.458116756
39	3.454699651
40	3.451868169
41	3.449048384
42	3.445406497
43	3.44295929
44	3.440066087
45	3.438366641
46	3.436558025
47	3.434084504
48	3.430091066
49	3.428374311
50	3.426143148
51	3.420997009
52	3.417240214
53	3.414816945
54	3.413994211
55	3.41065299
56	3.408882221
57	3.407838853
58	3.405704104
59	3.404489912
60	3.404032389
61	3.40220578
62	3.400530927
63	3.398460366
64	3.393597261
65	3.391006495
66	3.38720898
67	3.386148141
68	3.385456872
69	3.3836202
70	3.380926032
71	3.380191125
72	3.37665583
73	3.375402386
74	3.374271979
75	3.373077895
76	3.370712932
77	3.366804041
78	3.365666235
79	3.363100344
80	3.360299804
81	3.357643715
82	3.355556024
83	3.354252956
84	3.352695142
85	3.351335185
86	3.350109239
87	3.348306694
88	3.347034237
89	3.345831019
90	3.344776401
91	3.343319366
92	3.343319333
93	3.341094403
94	3.338261688
95	3.334895748
96	3.331673017
97	3.33079454
98	3.328298076
99	3.325398851
