iter	RMSE
0	6.109860687
1	5.722005873
2	5.390610323
3	5.104842441
4	4.856570695
5	4.646516319
6	4.46844145
7	4.317930826
8	4.189955795
9	4.080697882
10	3.988990477
11	3.91326555
12	3.851290228
13	3.794723501
14	3.750750264
15	3.711044708
16	3.678851469
17	3.65106612
18	3.628826581
19	3.608492748
20	3.593399383
21	3.580989391
22	3.565607094
23	3.559008121
24	3.551103724
25	3.542379185
26	3.535561482
27	3.528057027
28	3.523519691
29	3.515879747
30	3.510353577
31	3.500703198
32	3.4949506
33	3.489467922
34	3.483113053
35	3.479225533
36	3.475580802
37	3.47164913
38	3.468640345
39	3.466766537
40	3.463930058
41	3.459019628
42	3.456519068
43	3.453374501
44	3.451090944
45	3.445657321
46	3.441680704
47	3.43991374
48	3.436688935
49	3.434893547
50	3.431389203
51	3.428288829
52	3.424770301
53	3.423777222
54	3.421152978
55	3.418918224
56	3.41566415
57	3.414740563
58	3.41390528
59	3.411967146
60	3.408774237
61	3.407048778
62	3.405008965
63	3.403050578
64	3.400948199
65	3.396666645
66	3.395018882
67	3.393081819
68	3.391353656
69	3.389383937
70	3.389330747
71	3.388171367
72	3.386977797
73	3.384714844
74	3.381817561
75	3.379894787
76	3.378119443
77	3.376036878
78	3.374594641
79	3.37245314
80	3.372004145
81	3.369304188
82	3.36657717
83	3.364618696
84	3.362678848
85	3.361880334
86	3.361175534
87	3.359037803
88	3.357115125
89	3.35565056
90	3.354772906
91	3.354505351
92	3.353004903
93	3.350144542
94	3.348405398
95	3.347748303
96	3.346647336
97	3.343645242
98	3.342969007
99	3.342081132
