iter	RMSE
0	6.108768948
1	5.726549565
2	5.387482779
3	5.099766593
4	4.848454809
5	4.642680818
6	4.465058909
7	4.312707988
8	4.183762399
9	4.071796704
10	3.982666203
11	3.906502649
12	3.844773965
13	3.790095453
14	3.743543758
15	3.703974763
16	3.670814524
17	3.643010431
18	3.621268354
19	3.602821783
20	3.583776795
21	3.571942392
22	3.560969158
23	3.54655684
24	3.535441585
25	3.527451154
26	3.522570288
27	3.51463044
28	3.507571454
29	3.499446128
30	3.493017391
31	3.489318553
32	3.483993723
33	3.481758392
34	3.479824795
35	3.476516153
36	3.473632872
37	3.470629591
38	3.466247041
39	3.462464728
40	3.460652694
41	3.458360505
42	3.455082785
43	3.452888831
44	3.449662049
45	3.44770563
46	3.447412509
47	3.444966827
48	3.441953384
49	3.439387081
50	3.436086718
51	3.434269008
52	3.433111366
53	3.430851387
54	3.426414887
55	3.423666266
56	3.421068026
57	3.420195508
58	3.41910503
59	3.417971231
60	3.415958776
61	3.412228772
62	3.410991656
63	3.408097294
64	3.405431855
65	3.404092677
66	3.40330582
67	3.400526903
68	3.400140462
69	3.397892948
70	3.396848428
71	3.396848061
72	3.395091246
73	3.392499207
74	3.391374098
75	3.388426354
76	3.388015421
77	3.385026421
78	3.379780053
79	3.378013305
80	3.37515552
81	3.374093904
82	3.371762381
83	3.366979367
84	3.365559718
85	3.36455593
86	3.361887495
87	3.359546791
88	3.354752999
89	3.352448476
90	3.350665315
91	3.348892461
92	3.347484478
93	3.344394772
94	3.343528913
95	3.341559579
96	3.338956197
97	3.338646346
98	3.336632305
99	3.333334207
