iter	RMSE
0	6.120778306
1	5.731021691
2	5.398154106
3	5.111704821
4	4.86239671
5	4.651734692
6	4.473078327
7	4.322354325
8	4.193566454
9	4.083159246
10	3.997647397
11	3.920712959
12	3.856104067
13	3.798231201
14	3.753451899
15	3.711564722
16	3.676724519
17	3.649572932
18	3.626745132
19	3.608943696
20	3.589999387
21	3.577436962
22	3.566455313
23	3.557112951
24	3.549073699
25	3.534900862
26	3.527084087
27	3.519792164
28	3.515048778
29	3.508410296
30	3.499275746
31	3.493820919
32	3.488550537
33	3.482968178
34	3.478617563
35	3.475150057
36	3.468729066
37	3.466102707
38	3.463854316
39	3.460321034
40	3.457720943
41	3.456045986
42	3.453855766
43	3.45067336
44	3.447639619
45	3.44702831
46	3.442979933
47	3.441374484
48	3.439402791
49	3.43657021
50	3.434807947
51	3.431529212
52	3.428737489
53	3.42683334
54	3.42399001
55	3.422070403
56	3.420732943
57	3.417527561
58	3.416180418
59	3.414582297
60	3.41351899
61	3.409410629
62	3.407524656
63	3.404542782
64	3.403355767
65	3.401783607
66	3.398981506
67	3.396457169
68	3.395328139
69	3.393386521
70	3.392123819
71	3.390826142
72	3.388747805
73	3.387260162
74	3.38599453
75	3.384469069
76	3.381053479
77	3.37987794
78	3.378153034
79	3.375894857
80	3.375481082
81	3.373499959
82	3.371788691
83	3.370002578
84	3.369719305
85	3.366944852
86	3.364448403
87	3.363825889
88	3.362334634
89	3.361869589
90	3.358942642
91	3.358234871
92	3.356869357
93	3.356409478
94	3.354465218
95	3.351090224
96	3.350737487
97	3.349592283
98	3.348866929
99	3.347644554
