iter	RMSE
0	6.109983552
1	5.722067755
2	5.390283222
3	5.103986005
4	4.855186469
5	4.644775847
6	4.466557817
7	4.31632337
8	4.186311921
9	4.076820869
10	3.984124962
11	3.90774645
12	3.845205117
13	3.787945465
14	3.742975334
15	3.701201566
16	3.668804139
17	3.641073471
18	3.618580924
19	3.600870724
20	3.582304242
21	3.569631865
22	3.557548032
23	3.548148966
24	3.54021989
25	3.529825124
26	3.522992628
27	3.515126319
28	3.509606917
29	3.502679568
30	3.494894524
31	3.488803119
32	3.483866567
33	3.478861581
34	3.474781795
35	3.470318786
36	3.466306625
37	3.462666187
38	3.458778441
39	3.456747271
40	3.454910048
41	3.450780928
42	3.449756945
43	3.445083414
44	3.442735651
45	3.438112404
46	3.436158312
47	3.435181251
48	3.432430409
49	3.427276607
50	3.424810499
51	3.422704235
52	3.419653998
53	3.413944393
54	3.412236816
55	3.409660908
56	3.408263039
57	3.405778211
58	3.403380143
59	3.400315107
60	3.3972343
61	3.394807408
62	3.392436214
63	3.390775239
64	3.388230934
65	3.387325516
66	3.385858319
67	3.383044952
68	3.382135181
69	3.38048469
70	3.378367078
71	3.376929127
72	3.376070479
73	3.374393566
74	3.372421519
75	3.370879481
76	3.369042475
77	3.364694623
78	3.362481026
79	3.360692405
80	3.359599271
81	3.356445468
82	3.354997003
83	3.352288366
84	3.349660276
85	3.348813184
86	3.346243182
87	3.344202145
88	3.343760036
89	3.340986142
90	3.33883494
91	3.336001727
92	3.33471177
93	3.332977655
94	3.331765282
95	3.329753609
96	3.326565117
97	3.323449754
98	3.32192214
99	3.320636474
