iter	RMSE
0	6.135831671
1	5.744694588
2	5.410076826
3	5.121593292
4	4.870364113
5	4.651247018
6	4.471151742
7	4.318803507
8	4.189056369
9	4.078220476
10	3.985231245
11	3.90869115
12	3.844261975
13	3.78717299
14	3.743110031
15	3.700807344
16	3.670592719
17	3.642751511
18	3.620251248
19	3.602440334
20	3.583986819
21	3.571678761
22	3.56057712
23	3.547643036
24	3.539681883
25	3.529009167
26	3.523495313
27	3.51601036
28	3.511194912
29	3.504172815
30	3.498717963
31	3.489992586
32	3.485906132
33	3.481050341
34	3.475562407
35	3.472490388
36	3.468331652
37	3.463856342
38	3.460555027
39	3.455578796
40	3.452935138
41	3.450293289
42	3.446824773
43	3.443158806
44	3.440728482
45	3.437847403
46	3.435525615
47	3.432356342
48	3.429372557
49	3.428165691
50	3.425198847
51	3.423094374
52	3.41929329
53	3.417819968
54	3.414756482
55	3.412979265
56	3.410780338
57	3.408690227
58	3.4067406
59	3.404586657
60	3.404179826
61	3.40177555
62	3.401339459
63	3.398540089
64	3.393006918
65	3.392137111
66	3.390055187
67	3.388326755
68	3.38722263
69	3.385970779
70	3.382949062
71	3.381916758
72	3.379519645
73	3.376855775
74	3.373848077
75	3.371133821
76	3.367865768
77	3.365952083
78	3.364962189
79	3.362858735
80	3.361690751
81	3.360143492
82	3.358008769
83	3.35659101
84	3.355899266
85	3.354901592
86	3.352283508
87	3.349907568
88	3.349406005
89	3.347485651
90	3.346589204
91	3.343323224
92	3.342729381
93	3.340634298
94	3.338765139
95	3.335859847
96	3.334891071
97	3.33272371
98	3.329646749
99	3.325258917
