iter	RMSE
0	6.129021192
1	5.738555181
2	5.405053698
3	5.117487324
4	4.867345815
5	4.655974316
6	4.47675259
7	4.32535965
8	4.196183148
9	4.085625346
10	3.992904809
11	3.916164257
12	3.853450054
13	3.795603513
14	3.750919771
15	3.71087723
16	3.679396786
17	3.651241271
18	3.628716921
19	3.611102253
20	3.592487981
21	3.579842855
22	3.568694386
23	3.555798566
24	3.547501464
25	3.536310289
26	3.527798446
27	3.520255073
28	3.515393014
29	3.508056896
30	3.498755006
31	3.492868866
32	3.487173763
33	3.484855338
34	3.479680254
35	3.476769177
36	3.474589068
37	3.470779323
38	3.467921806
39	3.46320241
40	3.461453241
41	3.459007943
42	3.456139814
43	3.45309807
44	3.449249443
45	3.445897781
46	3.443548749
47	3.441182493
48	3.439150324
49	3.438059445
50	3.437037283
51	3.436506412
52	3.432992406
53	3.430607857
54	3.428090721
55	3.425957301
56	3.423769715
57	3.422551627
58	3.421813683
59	3.420718644
60	3.418611245
61	3.417018667
62	3.413484973
63	3.406563507
64	3.404591702
65	3.401854186
66	3.399834559
67	3.398826759
68	3.397744285
69	3.39611746
70	3.394686364
71	3.393836897
72	3.391926316
73	3.391127583
74	3.388837368
75	3.386283484
76	3.383470941
77	3.382565667
78	3.380190588
79	3.377481999
80	3.376624878
81	3.373536923
82	3.371179617
83	3.368605527
84	3.367326448
85	3.363676927
86	3.360794444
87	3.359479604
88	3.357680771
89	3.356496758
90	3.353836695
91	3.351903779
92	3.349655107
93	3.348699757
94	3.346636153
95	3.344987814
96	3.344334105
97	3.342363302
98	3.341004236
99	3.340020056
