iter	RMSE
0	6.122697246
1	5.7346695
2	5.40232447
3	5.115725665
4	4.866385462
5	4.655778839
6	4.477571935
7	4.326370812
8	4.197624629
9	4.087398139
10	3.995152946
11	3.919060709
12	3.855384192
13	3.798467406
14	3.75360175
15	3.712214611
16	3.677607407
17	3.652049654
18	3.627620733
19	3.609997935
20	3.591780198
21	3.579332614
22	3.563688228
23	3.553739711
24	3.545810907
25	3.536662799
26	3.529820122
27	3.522434303
28	3.516301101
29	3.509067139
30	3.504385871
31	3.495703179
32	3.491670799
33	3.487404783
34	3.482570171
35	3.478514198
36	3.474519695
37	3.470727993
38	3.468476802
39	3.465450452
40	3.462006325
41	3.458744479
42	3.457216067
43	3.452759732
44	3.450470448
45	3.448038048
46	3.44535834
47	3.442292359
48	3.439151708
49	3.437161185
50	3.434367466
51	3.431504656
52	3.428885701
53	3.427458361
54	3.426599696
55	3.423437717
56	3.42147855
57	3.419878624
58	3.418601496
59	3.417384722
60	3.41656423
61	3.415708785
62	3.415381494
63	3.412460573
64	3.411034045
65	3.40722958
66	3.40633591
67	3.401924384
68	3.399806183
69	3.398237673
70	3.397222679
71	3.395500889
72	3.3947351
73	3.392821932
74	3.392250367
75	3.390726613
76	3.386826211
77	3.385089181
78	3.383106262
79	3.380897151
80	3.379132078
81	3.377263684
82	3.375178576
83	3.375106872
84	3.373137981
85	3.369180198
86	3.36906328
87	3.366292355
88	3.364346649
89	3.362704812
90	3.360760395
91	3.359015577
92	3.357000145
93	3.356295885
94	3.356224913
95	3.354513044
96	3.353590113
97	3.352085512
98	3.350416292
99	3.347519839
