dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
15.0,3.7,4.0,24.0,9.0,0
15.0,3.9,4.0,24.0,12.0,0
15.0,3.9,2.0,24.0,13.0,0
15.0,3.9,1.0,24.0,12.0,0
15.0,3.7,1.0,24.0,10.0,0
16.0,3.8,3.0,24.0,12.0,0
16.0,3.7,2.0,24.0,12.0,0
16.0,3.8,2.0,24.0,12.0,0
17.0,3.9,5.0,24.0,13.0,0
15.0,4.0,4.0,24.0,12.0,0
14.0,3.9,3.0,24.0,11.0,0
14.0,3.8,2.0,24.0,11.0,0
17.0,4.0,4.0,24.0,14.0,0
15.0,4.0,5.0,24.0,12.0,0
14.0,3.8,4.0,24.0,10.0,0
14.0,3.8,4.0,24.0,10.0,0
17.0,3.9,5.0,24.0,13.0,0
15.0,4.0,5.0,24.0,12.0,0
14.0,3.9,3.0,23.0,11.0,0
14.0,3.9,3.0,23.0,11.0,0
14.0,3.9,7.0,22.0,13.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,0.0,21.0,10.0,0
13.0,3.7,1.0,21.0,10.0,0
16.0,3.8,6.0,24.0,14.0,0
15.0,4.0,4.0,24.0,12.0,0
15.0,4.0,2.0,24.0,11.0,0
15.0,3.9,1.0,24.0,10.0,0
14.0,3.9,6.0,22.0,15.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.7,1.0,21.0,9.0,0
13.0,3.7,2.0,21.0,10.0,0
17.0,3.9,5.0,24.0,13.0,0
15.0,4.0,4.0,24.0,12.0,0
14.0,3.9,2.0,23.0,12.0,0
14.0,3.9,2.0,23.0,12.0,0
16.0,3.8,4.0,24.0,15.0,0
15.0,4.0,5.0,24.0,12.0,0
15.0,4.0,4.0,24.0,10.0,0
15.0,3.9,4.0,23.0,10.0,0
14.0,3.8,4.0,22.0,16.0,0
13.0,3.8,3.0,21.0,11.0,0
13.0,3.8,2.0,21.0,8.0,0
13.0,3.8,2.0,22.0,7.0,0
16.0,3.9,4.0,24.0,14.0,0
15.0,4.0,5.0,24.0,12.0,0
15.0,3.9,4.0,24.0,10.0,0
15.0,3.8,4.0,24.0,10.0,0
17.0,3.9,4.0,24.0,13.0,0
15.0,4.0,5.0,24.0,12.0,0
14.0,3.9,4.0,23.0,12.0,0
14.0,3.8,3.0,23.0,12.0,0
17.0,3.9,4.0,24.0,14.0,0
15.0,4.0,5.0,24.0,12.0,0
14.0,3.9,4.0,24.0,11.0,0
14.0,3.8,3.0,23.0,11.0,0
16.0,3.8,4.0,24.0,15.0,0
15.0,4.0,5.0,24.0,12.0,0
15.0,4.0,4.0,24.0,10.0,0
15.0,3.9,3.0,23.0,10.0,0
16.0,3.9,5.0,24.0,15.0,0
15.0,4.0,5.0,24.0,11.0,0
15.0,3.9,3.0,24.0,10.0,0
15.0,3.8,2.0,24.0,9.0,0
16.0,3.8,2.0,25.0,13.0,0
15.0,4.0,5.0,24.0,12.0,0
15.0,4.0,5.0,24.0,12.0,0
15.0,3.9,5.0,23.0,12.0,0
16.0,3.9,5.0,24.0,15.0,0
15.0,4.0,4.0,24.0,11.0,0
15.0,4.0,3.0,24.0,10.0,0
15.0,3.9,2.0,24.0,9.0,0
17.0,3.9,5.0,24.0,13.0,0
15.0,4.0,4.0,24.0,12.0,0
14.0,3.9,3.0,24.0,11.0,0
14.0,3.8,2.0,24.0,11.0,0
17.0,3.9,4.0,24.0,14.0,0
15.0,4.0,5.0,24.0,12.0,0
15.0,3.9,4.0,24.0,10.0,0
15.0,3.8,4.0,24.0,10.0,0
16.0,4.0,5.0,24.0,13.0,0
17.0,3.7,2.0,23.0,13.0,0
17.0,3.8,4.0,23.0,13.0,0
17.0,3.9,4.0,24.0,13.0,0
17.0,4.2,5.0,23.0,15.0,0
15.0,4.1,6.0,24.0,13.0,0
15.0,3.9,7.0,24.0,11.0,0
16.0,3.8,6.0,24.0,11.0,0
17.0,4.2,6.0,23.0,15.0,0
15.0,4.1,6.0,25.0,12.0,0
15.0,3.9,5.0,25.0,11.0,0
16.0,3.8,4.0,25.0,11.0,0
17.0,3.9,9.0,24.0,13.0,0
15.0,4.2,6.0,24.0,13.0,0
16.0,4.2,4.0,24.0,13.0,0
16.0,4.1,3.0,23.0,13.0,0
17.0,4.0,5.0,25.0,16.0,0
16.0,4.1,6.0,24.0,13.0,0
15.0,4.1,6.0,23.0,12.0,0
16.0,4.1,6.0,23.0,11.0,0
17.0,4.1,6.0,24.0,16.0,0
15.0,4.1,6.0,24.0,13.0,0
15.0,4.0,5.0,24.0,11.0,0
15.0,3.9,5.0,23.0,10.0,0
17.0,4.0,8.0,24.0,15.0,0
15.0,4.1,6.0,24.0,13.0,0
15.0,4.1,3.0,24.0,11.0,0
15.0,4.1,4.0,24.0,12.0,0
17.0,4.0,8.0,23.0,15.0,0
15.0,4.1,6.0,24.0,13.0,0
16.0,4.1,3.0,24.0,11.0,0
16.0,4.0,2.0,24.0,11.0,0
17.0,4.2,7.0,23.0,14.0,0
15.0,4.1,5.0,25.0,13.0,0
15.0,3.9,4.0,25.0,13.0,0
16.0,3.8,3.0,25.0,13.0,0
15.0,4.0,2.0,25.0,9.0,0
16.0,4.0,1.0,24.0,11.0,0
16.0,4.0,2.0,23.0,12.0,0
15.0,4.1,3.0,23.0,13.0,0
17.0,4.1,8.0,24.0,14.0,0
15.0,4.1,5.0,24.0,13.0,0
15.0,4.0,3.0,24.0,12.0,0
15.0,3.9,2.0,24.0,12.0,0
17.0,4.0,8.0,24.0,16.0,0
15.0,4.1,6.0,24.0,13.0,0
15.0,4.1,4.0,24.0,11.0,0
16.0,4.1,4.0,23.0,11.0,0
17.0,4.1,7.0,24.0,15.0,0
15.0,4.1,6.0,24.0,13.0,0
15.0,4.0,5.0,24.0,11.0,0
