iter	RMSE
0	6.12682254
1	5.737325581
2	5.404224042
3	5.117417532
4	4.867646583
5	4.656660355
6	4.478192013
7	4.327303774
8	4.198612412
9	4.088521869
10	3.996289154
11	3.920226712
12	3.856177019
13	3.799335632
14	3.75429908
15	3.714578538
16	3.683254513
17	3.657907271
18	3.635617077
19	3.617889663
20	3.599376202
21	3.586818956
22	3.576104557
23	3.569345048
24	3.56130803
25	3.552579655
26	3.541313958
27	3.534237328
28	3.529399125
29	3.521288352
30	3.512075887
31	3.50623525
32	3.50265783
33	3.497145945
34	3.491234067
35	3.487990127
36	3.485081329
37	3.481285566
38	3.477261119
39	3.473184677
40	3.471848298
41	3.468855345
42	3.467129872
43	3.46420609
44	3.461874782
45	3.458736235
46	3.455852198
47	3.453955497
48	3.450453816
49	3.449180819
50	3.445650828
51	3.441707477
52	3.437329385
53	3.435567254
54	3.43319525
55	3.429777446
56	3.427508507
57	3.42623216
58	3.424095596
59	3.421878383
60	3.421350997
61	3.419881157
62	3.417760579
63	3.415825568
64	3.414515404
65	3.413557001
66	3.412160245
67	3.410565597
68	3.408087745
69	3.40599149
70	3.403065383
71	3.401415856
72	3.399937278
73	3.397561569
74	3.39557168
75	3.393383256
76	3.389823289
77	3.386625954
78	3.38431089
79	3.380829214
80	3.376746624
81	3.375513898
82	3.372276931
83	3.369784845
84	3.369293065
85	3.368193164
86	3.366018472
87	3.363958805
88	3.362090526
89	3.362020728
90	3.361015032
91	3.358972196
92	3.357313913
93	3.354972654
94	3.354208359
95	3.350387704
96	3.347789843
97	3.346192263
98	3.345213774
99	3.343775174
